0,(251, 149),0.88
0,(252, 150),0.74
0,(251, 151),0.56
1,(251, 149),0.88
1,(252, 150),0.74
1,(251, 151),0.56
2,(251, 149),0.88
2,(252, 150),0.74
2,(251, 151),0.56
3,(251, 149),0.88
3,(252, 150),0.74
3,(251, 151),0.56
4,(251, 149),0.88
4,(252, 150),0.74
4,(251, 151),0.56
5,(251, 149),0.88
5,(252, 150),0.74
5,(251, 151),0.56
6,(251, 149),0.88
6,(252, 150),0.74
6,(251, 151),0.56
7,(251, 149),0.88
7,(252, 150),0.74
7,(251, 151),0.56
8,(251, 149),0.88
8,(252, 150),0.74
8,(251, 151),0.56
9,(251, 149),0.88
9,(252, 150),0.74
9,(251, 151),0.56
10,(251, 149),0.88
10,(252, 150),0.74
10,(251, 151),0.56
11,(251, 149),0.88
11,(252, 150),0.74
11,(251, 151),0.56
12,(251, 149),0.88
12,(252, 150),0.74
12,(251, 151),0.56
13,(251, 149),0.88
13,(252, 150),0.74
13,(251, 151),0.56
14,(251, 149),0.88
14,(252, 150),0.74
14,(251, 151),0.56
15,(251, 149),0.88
15,(252, 150),0.74
15,(251, 151),0.56
16,(251, 149),0.88
16,(252, 150),0.74
16,(251, 151),0.56
17,(251, 149),0.88
17,(252, 150),0.74
17,(251, 151),0.56
18,(251, 149),0.88
18,(252, 150),0.74
18,(251, 151),0.56
19,(251, 149),0.88
19,(252, 150),0.74
19,(251, 151),0.56
20,(251, 149),0.88
20,(252, 150),0.74
20,(251, 151),0.56
21,(251, 149),0.88
21,(252, 150),0.74
21,(251, 151),0.56
22,(251, 149),0.88
22,(252, 150),0.74
22,(251, 151),0.56
23,(251, 149),0.88
23,(252, 150),0.74
23,(251, 151),0.56
24,(251, 149),0.88
24,(252, 150),0.74
24,(251, 151),0.56
25,(251, 149),0.88
25,(252, 150),0.74
25,(251, 151),0.56
26,(251, 149),0.88
26,(252, 150),0.74
26,(251, 151),0.56
27,(251, 149),0.88
27,(252, 150),0.74
27,(251, 151),0.56
28,(251, 149),0.88
28,(252, 150),0.74
28,(251, 151),0.56
29,(251, 149),0.88
29,(252, 150),0.74
29,(251, 151),0.56
30,(251, 149),0.88
30,(252, 150),0.74
30,(251, 151),0.56
31,(251, 149),0.88
31,(252, 150),0.74
31,(251, 151),0.56
32,(251, 149),0.88
32,(252, 150),0.74
32,(251, 151),0.56
33,(251, 149),0.88
33,(252, 150),0.74
33,(251, 151),0.56
34,(251, 149),0.88
34,(252, 150),0.74
34,(251, 151),0.56
35,(251, 149),0.88
35,(252, 150),0.74
35,(251, 151),0.56
36,(251, 149),0.88
36,(252, 150),0.74
36,(251, 151),0.56
37,(251, 149),0.88
37,(252, 150),0.74
37,(251, 151),0.56
38,(251, 149),0.88
38,(252, 150),0.74
38,(251, 151),0.56
39,(251, 149),0.88
39,(252, 150),0.74
39,(251, 151),0.56
40,(251, 149),0.88
40,(252, 150),0.74
40,(251, 151),0.56
41,(251, 149),0.88
41,(252, 150),0.74
41,(251, 151),0.56
42,(251, 149),0.88
42,(252, 150),0.74
42,(251, 151),0.56
43,(251, 149),0.88
43,(252, 150),0.74
43,(251, 151),0.56
44,(251, 149),0.88
44,(252, 150),0.74
44,(251, 151),0.56
45,(251, 149),0.88
